#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.619628    0.619628           0
           2    0.613793    0.616711  0.00206294
           3    0.613772    0.615731  0.00159094
           4    0.612243    0.614859  0.00141214
           5    0.610619    0.614011  0.00136069
           6    0.614995    0.614175  0.00114375
           7    0.612363    0.613916  0.00100923
           8    0.619131    0.614568  0.00107313
           9    0.613501    0.614449 0.000960418
          10    0.614859     0.61449 0.000865249
          11    0.610756    0.614151 0.000850582
          12    0.614818    0.614206 0.000781513
          13    0.610419    0.613915 0.000773805
          14    0.615018    0.613994  0.00072253
          15    0.611422    0.613822 0.000694405
          16    0.622013    0.614334 0.000818237
          17    0.611568    0.614172 0.000786124
          18    0.612877      0.6141 0.000745733
          19    0.616841    0.614244 0.000720308
          20     0.61167    0.614115 0.000695693
          21    0.619739    0.614383 0.000712242
          22    0.611593    0.614256 0.000691065
          23    0.612968      0.6142 0.000663286
          24    0.611755    0.614098 0.000643428
          25     0.61636    0.614189 0.000624016
          26     0.61002    0.614028 0.000620274
          27    0.619467     0.61423  0.00062916
          28    0.615897    0.614289 0.000609502
          29    0.610553    0.614161 0.000601947
          30    0.615351      0.6142 0.000583189
           1     1.19977     1.19977           0
           2     1.20039     1.20008 0.000218893
           3     1.20482     1.20166  0.00129749
           4      1.2041     1.20227  0.00110734
           5     1.19023     1.19986  0.00232791
           6      1.2011     1.20007   0.0019491
           7     1.20142     1.20026   0.0016802
           8      1.2062       1.201  0.00162562
           9     1.17852     1.19851  0.00276326
          10     1.21139     1.19979  0.00277112
          11     1.19556     1.19941  0.00254575
          12     1.20672     1.20002  0.00240531
          13     1.20043     1.20005  0.00222049
          14     1.19359     1.19959  0.00210929
          15     1.20235     1.19977  0.00197667
          16      1.1929     1.19934  0.00189924
          17     1.19975     1.19937  0.00178767
          18     1.21251      1.2001  0.00183135
          19     1.18648     1.19938  0.00186994
          20     1.20239     1.19953  0.00178249
          21     1.20905     1.19998  0.00175431
          22     1.19522     1.19977  0.00168788
          23     1.19702     1.19965  0.00161871
          24     1.19278     1.19936  0.00157638
          25     1.21789      1.2001  0.00167845
          26      1.1911     1.19976  0.00164922
          27      1.1973     1.19967  0.00159064
          28     1.19266     1.19942  0.00155337
           1     1.19977     1.19977           0
           2     1.20039     1.20008 0.000218893
           3     1.20482     1.20166  0.00129749
           4      1.2041     1.20227  0.00110734
           5     1.19023     1.19986  0.00232791
           6      1.2011     1.20007   0.0019491
           7     1.20142     1.20026   0.0016802
           8      1.2062       1.201  0.00162562
           9     1.17852     1.19851  0.00276326
          10     1.21139     1.19979  0.00277112
          11     1.19556     1.19941  0.00254575
          12     1.20672     1.20002  0.00240531
          13     1.20043     1.20005  0.00222049
          14     1.19359     1.19959  0.00210929
          15     1.20235     1.19977  0.00197667
          16      1.1929     1.19934  0.00189924
          17     1.19975     1.19937  0.00178767
          18     1.21251      1.2001  0.00183135
          19     1.18648     1.19938  0.00186994
          20     1.20239     1.19953  0.00178249
          21     1.20905     1.19998  0.00175431
          22     1.19522     1.19977  0.00168788
          23     1.19702     1.19965  0.00161871
          24     1.19278     1.19936  0.00157638
          25     1.21789      1.2001  0.00167845
          26      1.1911     1.19976  0.00164922
          27      1.1973     1.19967  0.00159064
          28     1.19266     1.19942  0.00155337
          29     1.19936     1.19941  0.00149981
          30      1.2014     1.19948  0.00145128
