#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.19759     1.19759           0
           2      1.1987     1.19814 0.000394327
           3      1.2009     1.19906 0.000795348
           4     1.19628     1.19837 0.000848234
           5     1.19958     1.19861 0.000712355
           6     1.20222     1.19921 0.000808862
           7     1.20256     1.19969 0.000822828
           8     1.19369     1.19894  0.00100537
           9     1.19978     1.19903 0.000897973
          10     1.19937     1.19907 0.000808823
          11     1.19584     1.19877 0.000786562
          12     1.20016     1.19889 0.000729383
          13     1.19632     1.19869 0.000699451
          14     1.20238     1.19896 0.000697219
          15     1.19813      1.1989  0.00065292
          16     1.19849     1.19887 0.000612605
          17     1.19909     1.19889 0.000576704
          18     1.19679     1.19877 0.000556259
          19     1.20006     1.19884 0.000531108
          20     1.20034     1.19891  0.00050981
          21     1.19722     1.19883  0.00049184
          22     1.19939     1.19886 0.000470127
          23     1.19947     1.19889 0.000450442
          24     1.20002     1.19893 0.000434144
          25     1.19603     1.19882 0.000431993
          26     1.19655     1.19873 0.000424095
          27     1.20345      1.1989  0.00044291
          28     1.19942     1.19892 0.000427468
          29     1.19706     1.19886 0.000417539
          30       1.193     1.19866 0.000446898
