#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -7.2026     -7.2026           0
           2    -7.19694    -7.19977  0.00200242
           3     -7.1981    -7.19921  0.00141017
           4    -7.19608    -7.19843  0.00125657
           5    -7.19345    -7.19743  0.00134348
           6    -7.19801    -7.19753  0.00112302
           7    -7.19572    -7.19727  0.00099196
           8    -7.20199    -7.19786   0.0010286
           9    -7.19554     -7.1976 0.000945915
          10    -7.19824    -7.19767 0.000853451
          11    -7.19444    -7.19737 0.000824762
          12    -7.19741    -7.19738 0.000756038
          13    -7.19235    -7.19699 0.000790515
          14    -7.19865    -7.19711  0.00074291
          15    -7.19321    -7.19685 0.000737463
          16    -7.20401    -7.19729 0.000815981
          17    -7.19477    -7.19715 0.000781332
          18    -7.19708    -7.19714 0.000737934
          19    -7.19984    -7.19728 0.000712653
          20    -7.19432    -7.19714 0.000692288
          21    -7.20247    -7.19739 0.000704333
          22    -7.19332    -7.19721 0.000696193
          23    -7.19435    -7.19708 0.000676935
          24    -7.19384    -7.19695 0.000662054
          25    -7.19846    -7.19701 0.000638334
          26    -7.19216    -7.19682 0.000640471
          27    -7.20227    -7.19702 0.000647766
          28    -7.19872    -7.19708  0.00062748
          29    -7.19362    -7.19696 0.000617111
          30    -7.19723    -7.19697 0.000596607
           1    -6.66465    -6.66465           0
           2    -6.66402    -6.66434 0.000221851
           3    -6.66836    -6.66568  0.00110616
           4    -6.66629    -6.66583 0.000840119
           5    -6.65292    -6.66325  0.00240555
           6    -6.66391    -6.66336  0.00200714
           7    -6.66406    -6.66346  0.00172293
           8    -6.67051    -6.66434  0.00171802
           9    -6.64176    -6.66183  0.00281594
          10    -6.67346    -6.66299    0.002764
          11    -6.65862     -6.6626  0.00254117
          12    -6.67047    -6.66325  0.00241257
          13    -6.66293    -6.66323  0.00222711
          14      -6.655    -6.66264   0.0021442
          15    -6.66552    -6.66283  0.00200985
          16    -6.65507    -6.66235   0.0019419
          17    -6.66147    -6.66229  0.00182835
          18    -6.67533    -6.66302  0.00186478
          19    -6.65017    -6.66234  0.00188533
          20    -6.66416    -6.66243  0.00179326
          21    -6.67289    -6.66293  0.00177559
          22    -6.65761    -6.66269  0.00171127
          23       -6.66    -6.66257  0.00164086
          24     -6.6557    -6.66229   0.0015973
          25    -6.68287    -6.66311  0.00173275
          26    -6.65418    -6.66277  0.00169983
          27    -6.66148    -6.66272  0.00163755
          28    -6.65653     -6.6625   0.0015939
           1    -6.66465    -6.66465           0
           2    -6.66402    -6.66434 0.000221851
           3    -6.66836    -6.66568  0.00110616
           4    -6.66629    -6.66583 0.000840119
           5    -6.65292    -6.66325  0.00240555
           6    -6.66391    -6.66336  0.00200714
           7    -6.66406    -6.66346  0.00172293
           8    -6.67051    -6.66434  0.00171802
           9    -6.64176    -6.66183  0.00281594
          10    -6.67346    -6.66299    0.002764
          11    -6.65862     -6.6626  0.00254117
          12    -6.67047    -6.66325  0.00241257
          13    -6.66293    -6.66323  0.00222711
          14      -6.655    -6.66264   0.0021442
          15    -6.66552    -6.66283  0.00200985
          16    -6.65507    -6.66235   0.0019419
          17    -6.66147    -6.66229  0.00182835
          18    -6.67533    -6.66302  0.00186478
          19    -6.65017    -6.66234  0.00188533
          20    -6.66416    -6.66243  0.00179326
          21    -6.67289    -6.66293  0.00177559
          22    -6.65761    -6.66269  0.00171127
          23       -6.66    -6.66257  0.00164086
          24     -6.6557    -6.66229   0.0015973
          25    -6.68287    -6.66311  0.00173275
          26    -6.65418    -6.66277  0.00169983
          27    -6.66148    -6.66272  0.00163755
          28    -6.65653     -6.6625   0.0015939
          29    -6.66136    -6.66246  0.00153943
          30    -6.66495    -6.66254  0.00149034
