#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.366475   -0.366475           0
           2   -0.390113   -0.378294  0.00835714
           3   -0.440112     -0.3989   0.0177231
           4   -0.385355   -0.395514   0.0136119
           5   -0.426043    -0.40162   0.0121823
           6   -0.391519   -0.399936   0.0102676
           7   -0.442123   -0.405963   0.0104205
           8   -0.438155   -0.409987   0.0098643
           9    -0.40303   -0.409214   0.0087985
          10   -0.340417   -0.402334   0.0102617
          11   -0.448783   -0.406557   0.0101605
          12   -0.417525   -0.407471  0.00935482
          13   -0.434097   -0.409519   0.0088566
          14   -0.460762   -0.413179   0.0089484
          15   -0.447795   -0.415487   0.0086443
          16   -0.430926   -0.416452  0.00815771
          17   -0.419141    -0.41661  0.00767938
          18   -0.443509   -0.418104  0.00739672
          19    -0.41961   -0.418184  0.00700784
          20   -0.419127   -0.418231  0.00665761
          21    -0.41694   -0.418169  0.00634086
          22   -0.400518   -0.417367  0.00610319
          23   -0.410135   -0.417053  0.00584593
          24   -0.397453   -0.416236   0.0056591
          25   -0.366668   -0.414253  0.00576963
          26    -0.38131   -0.412986  0.00568515
          27    -0.37854    -0.41171   0.0056159
          28   -0.379763   -0.410569  0.00553003
          29   -0.360617   -0.408847  0.00560117
          30   -0.385889   -0.408082  0.00546649
