#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.00958    -5.00958           0
           2     -5.0163    -5.01294  0.00237682
           3    -5.01528    -5.01372  0.00170816
           4    -5.02269    -5.01596  0.00232709
           5    -4.99751    -5.01227  0.00379057
           6     -4.9944    -5.00929  0.00416833
           7    -4.99369    -5.00706  0.00412613
           8    -5.03499    -5.01055  0.00486781
           9    -5.03184    -5.01292  0.00486761
          10    -5.00366    -5.01199  0.00446802
          11    -5.00709    -5.01155  0.00408402
          12    -5.01819     -5.0121  0.00378101
          13    -5.04213    -5.01441  0.00413619
          14    -5.04095    -5.01631  0.00425303
          15    -5.01556    -5.01626  0.00396979
          16     -5.0205    -5.01652   0.0037305
          17    -5.03956    -5.01788  0.00374913
          18    -5.02483    -5.01826  0.00356065
          19    -5.02575    -5.01866  0.00339496
          20    -5.02781    -5.01912  0.00325593
          21    -5.03623    -5.01993   0.0032013
          22    -5.00107    -5.01907   0.0031685
          23    -5.00714    -5.01855  0.00307291
          24    -5.05611    -5.02012  0.00331948
          25    -5.03467     -5.0207  0.00323731
          26    -5.03564    -5.02128  0.00316338
          27    -5.01418    -5.02101   0.0030571
          28    -5.03229    -5.02142  0.00297434
          29     -5.0047    -5.02084  0.00292712
          30    -5.02065    -5.02083  0.00282956
