#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -6.6603     -6.6603           0
           2    -6.66191     -6.6611 0.000568949
           3      -6.664    -6.66207 0.000876391
           4    -6.65853    -6.66118  0.00100961
           5    -6.66232    -6.66141 0.000833014
           6    -6.66489    -6.66199 0.000872505
           7    -6.66619    -6.66259 0.000931484
           8    -6.65739    -6.66194  0.00101663
           9    -6.66261    -6.66202  0.00090634
          10    -6.66214    -6.66203 0.000815791
          11    -6.65977    -6.66182 0.000767102
          12     -6.6633    -6.66195 0.000712984
          13    -6.65972    -6.66177 0.000678462
          14    -6.66473    -6.66199 0.000662113
          15    -6.66091    -6.66191 0.000621834
          16    -6.66145    -6.66188 0.000583648
          17    -6.66195    -6.66189 0.000549329
          18    -6.65893    -6.66172 0.000542842
          19     -6.6636    -6.66182 0.000523197
          20    -6.66338     -6.6619 0.000502806
          21    -6.66044    -6.66183 0.000483673
          22    -6.66178    -6.66183 0.000461693
          23    -6.66204    -6.66184 0.000441712
          24    -6.66268    -6.66187 0.000424706
          25    -6.65807    -6.66172 0.000434094
          26    -6.65877    -6.66161 0.000431978
          27    -6.66668     -6.6618 0.000454957
          28    -6.66257    -6.66182 0.000439552
          29    -6.65853    -6.66171 0.000438786
          30    -6.65504    -6.66149 0.000477159
