#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0486615   0.0486615           0
           2   0.0456906   0.0471761  0.00105036
           3   0.0519169   0.0487563  0.00146804
           4   0.0488607   0.0487824  0.00110126
           5   0.0458238   0.0481907  0.00102776
           6   0.0471458   0.0480166 0.000871096
           7   0.0464299   0.0477899 0.000775583
           8   0.0503818   0.0481139 0.000743231
           9   0.0455762   0.0478319  0.00071213
          10   0.0455243   0.0476012 0.000677275
          11   0.0496855   0.0477906 0.000641665
          12   0.0456447   0.0476118 0.000612605
          13   0.0473044   0.0475882 0.000565938
          14   0.0501513   0.0477712 0.000554335
          15   0.0469414   0.0477159 0.000520133
          16   0.0467115   0.0476531 0.000491399
          17   0.0501348   0.0477991  0.00048369
          18   0.0494097   0.0478886  0.00046502
          19   0.0489107   0.0479424 0.000443646
          20    0.050939   0.0480922 0.000446048
          21   0.0446962   0.0479305 0.000453176
          22   0.0470385     0.04789 0.000434387
          23   0.0489402   0.0479356 0.000417894
          24   0.0510924   0.0480672 0.000420673
          25    0.047573   0.0480474  0.00040431
          26   0.0475124   0.0480268 0.000389283
          27   0.0456809   0.0479399 0.000384439
          28   0.0489091   0.0479745 0.000372264
          29   0.0491618   0.0480155 0.000361671
          30   0.0503635   0.0480938 0.000357984
