#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.17488     2.17488           0
           2     2.16369     2.16928   0.0039574
           3     2.16916     2.16924   0.0026385
           4     2.17755     2.17132  0.00267374
           5     2.25269     2.18759   0.0147123
           6      2.3127     2.20844   0.0226409
           7     2.23567     2.21233   0.0197378
           8     2.03792     2.19053   0.0267238
           9     2.06687     2.17679   0.0270571
          10     2.21781     2.18089   0.0246604
          11     2.19296     2.18199   0.0224429
          12     2.08323     2.17376   0.0220301
          13     2.02028     2.16195   0.0232852
          14       2.061     2.15474   0.0227112
          15     2.18831     2.15698   0.0213071
          16     2.17683     2.15822   0.0200115
          17     1.92328      2.1444    0.023119
          18     2.19183     2.14704   0.0219842
          19     2.18819      2.1492   0.0209336
          20     2.23624     2.15355   0.0203343
          21     2.17641     2.15464   0.0193951
          22     2.25304     2.15912   0.0190222
          23     2.20676     2.16119   0.0183077
          24     2.12925     2.15986   0.0175931
          25     2.13521     2.15887    0.016917
          26     2.13212     2.15784   0.0162976
          27     2.25633     2.16149    0.016097
          28     2.05968     2.15785   0.0159275
          29      2.2557     2.16123   0.0157316
          30     2.15332     2.16096   0.0152094
