#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      9.5974      9.5974           0
           2     9.60911     9.60326  0.00414089
           3     9.58152     9.59601  0.00652795
           4     9.61402     9.60051  0.00625815
           5     9.62362     9.60513  0.00649205
           6     9.61078     9.60607  0.00547777
           7     9.58431     9.60297  0.00550743
           8     9.62261     9.60542  0.00533852
           9     9.60524      9.6054  0.00474539
          10     9.60263     9.60512  0.00427893
          11     9.61344     9.60588  0.00395613
          12     9.59683     9.60513  0.00369764
          13     9.61164     9.60563  0.00344703
          14     9.58357     9.60405  0.00354277
          15     9.61028     9.60447  0.00333084
          16     9.61389     9.60506  0.00317427
          17     9.59802     9.60464  0.00301441
          18     9.60877     9.60487  0.00285567
          19     9.61383     9.60534  0.00274404
          20     9.60953     9.60555  0.00261483
          21     9.62314     9.60639  0.00262102
          22     9.60458     9.60631  0.00250317
          23     9.61252     9.60658  0.00240887
          24     9.60318     9.60644  0.00231267
          25     9.62046       9.607  0.00228722
          26     9.59067     9.60637   0.0022838
          27     9.59184     9.60583   0.0022617
          28     9.58902     9.60523   0.0022592
          29     9.60994     9.60539  0.00218712
          30     9.64422     9.60669  0.00246759
