#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.15239     1.15239           0
           2     1.16812     1.16025  0.00556045
           3     1.20154     1.17401   0.0118319
           4     1.16501     1.17176   0.0090856
           5     1.19218     1.17585    0.008135
           6     1.16904     1.17471  0.00685776
           7     1.20275     1.17872  0.00695029
           8     1.20014      1.1814  0.00657723
           9     1.17677     1.18088  0.00586644
          10     1.13506      1.1763  0.00683932
          11     1.20725     1.17911  0.00677159
          12     1.18631     1.17971  0.00623382
          13     1.19732     1.18107  0.00589962
          14     1.21516      1.1835  0.00595966
          15     1.20652     1.18504  0.00575647
          16     1.19538     1.18568  0.00543283
          17     1.18755     1.18579  0.00511436
          18     1.20375     1.18679  0.00492658
          19     1.18784     1.18685  0.00466759
          20     1.18759     1.18688  0.00443436
          21     1.18608     1.18684  0.00422336
          22     1.17513     1.18631   0.0040648
          23     1.18154     1.18611  0.00389336
          24     1.17311     1.18556  0.00376862
          25     1.15254     1.18424  0.00384237
          26     1.16236      1.1834  0.00378565
          27      1.1605     1.18255  0.00373927
          28     1.16133     1.18179  0.00368175
          29     1.14854     1.18065  0.00372906
          30     1.16543     1.18014   0.0036391
