#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.09742     1.09742           0
           2     1.10315     1.10029  0.00202554
           3     1.10067     1.10041  0.00135431
           4     1.10682     1.10202   0.0017196
           5     1.08923     1.09946  0.00266874
           6     1.08747     1.09746  0.00287602
           7      1.0858      1.0958  0.00290773
           8     1.11435     1.09812  0.00334374
           9     1.11161     1.09962  0.00329125
          10     1.09299     1.09895    0.003028
          11     1.09584     1.09867  0.00276589
          12     1.10317     1.09905  0.00256065
          13     1.11849     1.10054  0.00276617
          14     1.11788     1.10178  0.00283235
          15      1.1019     1.10179  0.00264354
          16      1.1062     1.10206  0.00249264
          17     1.11574     1.10287  0.00247248
          18       1.109     1.10321  0.00235847
          19     1.10835     1.10348  0.00224983
          20     1.11049     1.10383  0.00216449
          21     1.11524     1.10437  0.00212855
          22     1.09118     1.10377  0.00211456
          23      1.0965     1.10346  0.00204611
          24     1.12866     1.10451  0.00221395
          25      1.1144      1.1049  0.00216045
          26     1.11427     1.10526  0.00210719
          27      1.1013     1.10512  0.00203424
          28     1.11359     1.10542  0.00198399
          29      1.0948     1.10505  0.00194909
          30     1.10499     1.10505  0.00188412
