#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.798391    0.798391           0
           2    0.799135    0.798763 0.000262884
           3    0.800602    0.799376 0.000530232
           4    0.797519    0.798912 0.000565489
           5    0.799719    0.799073 0.000474903
           6    0.801481    0.799474 0.000539241
           7    0.801708    0.799794 0.000548552
           8    0.795793    0.799293 0.000670248
           9    0.799853    0.799356 0.000598649
          10    0.799583    0.799378 0.000539215
          11     0.79723    0.799183 0.000524375
          12    0.800103     0.79926 0.000486255
          13     0.79755    0.799128 0.000466301
          14    0.801584    0.799304 0.000464813
          15    0.798751    0.799267  0.00043528
          16    0.798996     0.79925 0.000408404
          17    0.799395    0.799258 0.000384469
          18    0.797863    0.799181  0.00037084
          19    0.800041    0.799226 0.000354072
          20    0.800225    0.799276 0.000339873
          21     0.79815    0.799222 0.000327893
          22    0.799592    0.799239 0.000313418
          23    0.799648    0.799257 0.000300295
          24    0.800013    0.799288  0.00028943
          25    0.797355    0.799211 0.000287995
          26    0.797699    0.799153  0.00028273
          27    0.802298    0.799269 0.000295273
          28     0.79961    0.799282 0.000284979
          29    0.798038    0.799239 0.000278359
          30    0.795336    0.799109 0.000297932
