#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.58297    -6.58297           0
           2    -6.58314    -6.58306 6.05204e-05
           3    -6.58433    -6.58348 0.000347721
           4    -6.58383    -6.58357 0.000271842
           5    -6.58283    -6.58342 0.000254844
           6    -6.58301    -6.58335 0.000221164
           7    -6.58335    -6.58335 0.000189569
           8    -6.58286    -6.58329  0.00017565
           9    -6.58204    -6.58315 0.000203622
          10    -6.58338    -6.58317 0.000184502
          11    -6.58368    -6.58322 0.000173382
          12    -6.58259    -6.58317 0.000166632
          13    -6.58193    -6.58307 0.000178914
          14    -6.58363    -6.58311 0.000170539
          15    -6.58179    -6.58302  0.00018068
          16      -6.582    -6.58296 0.000180478
          17    -6.58321    -6.58298 0.000170444
          18     -6.5842    -6.58304  0.00017401
          19      -6.583    -6.58304 0.000164865
          20    -6.58265    -6.58302 0.000157789
          21    -6.58273    -6.58301 0.000150888
          22    -6.58173    -6.58295 0.000154846
          23    -6.58138    -6.58288 0.000162481
          24    -6.58209    -6.58285 0.000159049
          25     -6.5821    -6.58282 0.000155473
          26    -6.58214    -6.58279 0.000151691
          27     -6.5828    -6.58279 0.000146073
          28    -6.58283    -6.58279 0.000140862
          29    -6.58306     -6.5828 0.000136316
          30    -6.58188    -6.58277 0.000135173
           1    -5.46488    -5.46488           0
           2    -5.46363    -5.46426 0.000440744
           3    -5.46355    -5.46402 0.000351563
           4    -5.46219    -5.46356  0.00047578
           5    -5.46268    -5.46339 0.000411729
           6     -5.4628    -5.46329 0.000354323
           7    -5.46264     -5.4632 0.000315537
           8    -5.46431    -5.46334  0.00030526
           9    -5.46324    -5.46332 0.000271547
          10    -5.46207     -5.4632 0.000271969
          11    -5.46306    -5.46319 0.000247557
          12    -5.46375    -5.46323 0.000231355
          13     -5.4625    -5.46318  0.00022032
          14    -5.46141    -5.46305 0.000238057
          15    -5.46318    -5.46306 0.000222333
          16    -5.46217      -5.463 0.000215254
          17    -5.46172    -5.46293 0.000215392
          18    -5.46283    -5.46292 0.000203498
          19    -5.46369    -5.46296 0.000196722
          20    -5.46177     -5.4629 0.000195704
          21    -5.46383    -5.46295  0.00019135
          22    -5.46239    -5.46292 0.000184313
          23    -5.46298    -5.46292 0.000176314
          24    -5.46292    -5.46292 0.000168968
          25    -5.46499    -5.46301 0.000181262
          26    -5.46307    -5.46301 0.000174309
          27    -5.46417    -5.46305 0.000173098
          28    -5.46387    -5.46308 0.000169359
           1    -5.46488    -5.46488           0
           2    -5.46363    -5.46426 0.000440744
           3    -5.46355    -5.46402 0.000351563
           4    -5.46219    -5.46356  0.00047578
           5    -5.46268    -5.46339 0.000411729
           6     -5.4628    -5.46329 0.000354323
           7    -5.46264     -5.4632 0.000315537
           8    -5.46431    -5.46334  0.00030526
           9    -5.46324    -5.46332 0.000271547
          10    -5.46207     -5.4632 0.000271969
          11    -5.46306    -5.46319 0.000247557
          12    -5.46375    -5.46323 0.000231355
          13     -5.4625    -5.46318  0.00022032
          14    -5.46141    -5.46305 0.000238057
          15    -5.46318    -5.46306 0.000222333
          16    -5.46217      -5.463 0.000215254
          17    -5.46172    -5.46293 0.000215392
          18    -5.46283    -5.46292 0.000203498
          19    -5.46369    -5.46296 0.000196722
          20    -5.46177     -5.4629 0.000195704
          21    -5.46383    -5.46295  0.00019135
          22    -5.46239    -5.46292 0.000184313
          23    -5.46298    -5.46292 0.000176314
          24    -5.46292    -5.46292 0.000168968
          25    -5.46499    -5.46301 0.000181262
          26    -5.46307    -5.46301 0.000174309
          27    -5.46417    -5.46305 0.000173098
          28    -5.46387    -5.46308 0.000169359
          29      -5.462    -5.46304  0.00016758
          30    -5.46355    -5.46306 0.000162826
