#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.36211     1.36211           0
           2     1.36206     1.36208 1.64531e-05
           3     1.36219     1.36212 3.16277e-05
           4     1.36216     1.36213 2.49402e-05
           5     1.36223     1.36215  2.7413e-05
           6     1.36204     1.36213  2.7965e-05
           7     1.36201     1.36211 2.91145e-05
           8     1.36206     1.36211 2.62951e-05
           9     1.36213     1.36211 2.35013e-05
          10     1.36217     1.36212 2.18677e-05
          11     1.36209     1.36211  1.9996e-05
          12     1.36195      1.3621 2.26776e-05
          13     1.36189     1.36208 2.61873e-05
          14     1.36198     1.36208 2.53299e-05
          15     1.36198     1.36207 2.44048e-05
          16     1.36214     1.36207 2.32534e-05
          17     1.36218     1.36208  2.2659e-05
          18     1.36212     1.36208 2.15015e-05
          19     1.36215     1.36209 2.06289e-05
          20     1.36225     1.36209 2.12153e-05
          21     1.36219      1.3621 2.06473e-05
          22     1.36218      1.3621 2.00557e-05
          23     1.36218     1.36211 1.94627e-05
          24     1.36221     1.36211 1.91154e-05
          25     1.36215     1.36211 1.84079e-05
          26     1.36223     1.36212 1.82471e-05
          27     1.36221     1.36212 1.78795e-05
          28     1.36223     1.36212 1.76929e-05
          29      1.3622     1.36213 1.72657e-05
          30     1.36226     1.36213 1.72315e-05
