#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.46271    -5.46271           0
           2     -5.4632    -5.46296 0.000174622
           3     -5.4631    -5.46301 0.000122905
           4    -5.46225    -5.46282 0.000187504
           5    -5.46275     -5.4628 0.000150554
           6    -5.46267    -5.46278 0.000127183
           7    -5.46363     -5.4629  0.00015642
           8    -5.46371      -5.463  0.00016608
           9    -5.46283    -5.46298 0.000148765
          10    -5.46277    -5.46296  0.00013546
          11    -5.46392    -5.46305 0.000148664
          12    -5.46314    -5.46306 0.000136492
          13    -5.46339    -5.46308 0.000128398
          14    -5.46236    -5.46303 0.000129221
          15    -5.46278    -5.46301 0.000121644
          16    -5.46295    -5.46301 0.000114097
          17    -5.46286      -5.463 0.000107723
          18    -5.46214    -5.46295 0.000111963
          19    -5.46354    -5.46298 0.000110274
          20    -5.46304    -5.46299 0.000104801
          21    -5.46321      -5.463 0.000100358
          22    -5.46239    -5.46297 9.95008e-05
          23    -5.46257    -5.46295 9.66966e-05
          24    -5.46266    -5.46294  9.3416e-05
          25    -5.46204     -5.4629 9.64029e-05
          26    -5.46222    -5.46288 9.62017e-05
          27    -5.46323    -5.46289 9.35212e-05
          28    -5.46316     -5.4629 9.06585e-05
          29    -5.46148    -5.46285 9.99502e-05
          30    -5.46204    -5.46282 0.000100243
