           10.22         11.2642         0.57817
         6.56255        -11.4309        -6.77745
        -4.35791        -10.7425        0.845873
            -nan            -nan            -nan
        -7.60844        -10.2107         -10.548
            -nan            -nan            -nan
        0.833738         6.79439         4.35707
         9.51401        -3.06921         2.67156
            -nan            -nan            -nan
        -8.64362         -2.9894        -9.93272
        -2.51154         5.62259         7.97097
         0.44795        -2.23433         6.95586
            -nan            -nan            -nan
        -5.82197         -3.4711         9.81207
            -nan            -nan            -nan
            -nan            -nan            -nan
         8.52449         -4.0818         10.0963
        -11.1122        -7.36006        0.489415
          3.1146          2.1045         8.76671
            -nan            -nan            -nan
         3.82537        -4.70181         6.05855
        -7.28178         8.37253         7.01485
         3.00462          4.7101         3.16421
        -8.62633        -4.78482         4.49053
          7.8575        0.461227       -0.161512
        -8.81995        -5.68516        -8.96801
         5.48438      -0.0633366        -7.53181
        0.800814         7.60145         -1.7562
       -0.315347         6.12848         9.77688
         11.2124       -0.884305        -7.70814
        -2.02008         8.11253        -7.14159
            -nan            -nan            -nan
         1.38566        -1.84961        -8.48619
        -2.49723        0.775953         2.12457
         -5.0751        -5.03497          -4.936
         10.8044          4.6702        -10.5979
            -nan            -nan            -nan
            -nan            -nan            -nan
         10.0875        -11.5784         9.23156
        -8.05912         11.7029        -7.09525
            -nan            -nan            -nan
         10.0055         2.66205         1.06875
         8.55392         2.33571         2.60126
         5.96775        -9.66109        -3.96553
            -nan            -nan            -nan
         9.91495        -8.02852          3.2232
            -nan            -nan            -nan
         -3.1983         2.78599         10.8238
         3.47523        -10.4774         -8.7984
         2.63496        -3.11194         1.57855
         5.63482        -5.93633        -11.2067
         4.50109         5.72361         10.5011
        -1.76754        -8.70977         1.69757
        -11.0494        -5.08202         11.4907
        -2.18724         -1.3656        -6.03357
         9.66348        -1.45259        0.163999
        -6.76939        -1.70553         7.64093
            -nan            -nan            -nan
        -10.5107        -2.58567        -1.00211
        -5.14679         4.30743        -6.05136
        -5.42163         2.81215        -8.86537
        -8.85991        0.851673        -7.17255
         6.71917         2.69521        0.186097
        -11.9045         4.32297         7.61175
            -nan            -nan            -nan
         6.91688        -3.42818        -9.11756
       -0.978729         7.25436        -6.16709
            -nan            -nan            -nan
        -10.1366       -0.312034        -2.18995
            -nan            -nan            -nan
        0.721464        -5.86039         8.98124
        0.284056        -7.41408        -6.84551
        -2.83111         8.92239         3.98267
            -nan            -nan            -nan
            -nan            -nan            -nan
            -nan            -nan            -nan
        -3.86184        -5.61669        -10.6876
        -3.50364         5.20309         7.67895
          4.5475        -5.68683        -11.3532
            -nan            -nan            -nan
         4.97877         1.32101        -6.67298
            -nan            -nan            -nan
          3.1877         10.9121        -9.44456
            -nan            -nan            -nan
        -10.7895         11.6829         4.82912
        -1.87832        -4.87647         4.84228
         -6.6804         11.7245         6.75394
            -nan            -nan            -nan
        -7.36323        -3.29233         -5.7681
        -1.09723        -3.49276         7.63121
            -nan            -nan            -nan
        -11.0735         11.2581        -8.39404
            -nan            -nan            -nan
        -2.53714         5.96573         2.22493
            -nan            -nan            -nan
         6.19439         5.54773        -5.02565
         9.90704        -6.98602         -8.2613
        -6.24694         8.34558        -7.25203
        -1.23449         7.70457        -2.20419
         10.1834        -8.05407        -8.18519
            -nan            -nan            -nan
         9.19284        -0.36986          7.1872
        -8.56134        -10.4372         2.09132
         11.6854         11.2703         9.98547
        -10.9579         8.07548        -6.72276
        -4.91999         10.4375        -2.95606
         1.77042        -6.99106        -5.14104
        -3.44645         1.11015        -8.60578
