#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1        0.75        0.75           0
           2        0.75        0.75           0
           3        0.75        0.75           0
           4        0.75        0.75           0
           5        0.75        0.75           0
           6        0.75        0.75           0
           7        0.75        0.75           0
           8        0.75        0.75           0
           9        0.75        0.75           0
          10        0.75        0.75           0
          11        0.75        0.75           0
          12        0.75        0.75           0
          13        0.75        0.75           0
          14        0.75        0.75           0
          15        0.75        0.75           0
          16        0.75        0.75           0
          17        0.75        0.75           0
          18        0.75        0.75           0
          19        0.75        0.75           0
          20        0.75        0.75           0
