#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.01904     0.01904           0
           2     0.04992     0.03448   0.0109177
           3     0.04168     0.03688  0.00753766
           4     0.02616      0.0342  0.00611114
           5      0.0624     0.03984  0.00702489
           6      0.0326   0.0386333  0.00595681
           7     0.04556   0.0396229  0.00518737
           8     0.02436    0.037715  0.00487719
           9     0.04608   0.0386444  0.00442296
          10     0.01384    0.036164  0.00462418
          11     0.01364   0.0341164  0.00463504
          12     0.04204   0.0347767  0.00429556
          13     0.01496   0.0332523  0.00422696
          14      0.0174     0.03212  0.00407387
          15     0.04228   0.0327973  0.00385818
          16      0.0234     0.03221  0.00366147
          17      0.0502   0.0332682  0.00359577
          18     0.01656     0.03234  0.00351377
          19     0.01076   0.0312042   0.0035076
          20     0.02456    0.030872  0.00334792
          21    -0.01128   0.0288648  0.00374214
          22     0.00332   0.0277036  0.00374786
          23      0.0294   0.0277774  0.00358563
          24     0.01488     0.02724  0.00347627
          25     0.02688   0.0272256  0.00333725
          26     0.01964   0.0269338  0.00322162
          27     0.01236   0.0263941  0.00314719
          28     0.06756   0.0278643   0.0033607
          29     0.02268   0.0276855  0.00324956
          30     0.02904   0.0277307  0.00314156
          31     0.07372   0.0292142  0.00337236
          32     0.03088   0.0292662  0.00326737
          33     0.03328   0.0293879  0.00317062
          34     0.01892     0.02908  0.00309228
          35     0.03356    0.029208  0.00300658
          36      0.0374   0.0294356  0.00293166
          37     0.08172   0.0308486  0.00317478
          38    -0.01252   0.0297074  0.00328998
          39     0.04192   0.0300205  0.00322049
          40     0.03708    0.030197  0.00314481
          41     0.07384   0.0312615  0.00324326
          42     0.08216   0.0324733  0.00338488
          43     0.03744   0.0325888  0.00330814
          44     0.03036   0.0325382  0.00323334
          45     0.02696   0.0324142  0.00316386
          46      0.0416   0.0326139  0.00310138
          47     0.03772   0.0327226  0.00303729
          48     -0.0004   0.0320325   0.0030514
          49     0.02888   0.0319682   0.0029898
          50     0.03828   0.0320944  0.00293267
          51     0.03008   0.0320549  0.00287543
          52     0.02148   0.0318515  0.00282732
          53     0.00884   0.0314174  0.00280711
          54     0.03312   0.0314489  0.00275531
          55     0.06572    0.032072  0.00277477
          56     0.03652   0.0321514  0.00272636
          57    -0.01468   0.0313298  0.00279959
          58     0.00032   0.0307952  0.00280191
          59    -0.00712   0.0301525  0.00282715
          60     0.02028    0.029988  0.00278482
          61     0.02052   0.0298328  0.00274349
          62    -0.00124   0.0293316  0.00274463
          63     0.01484   0.0291016  0.00271069
          64      0.0462   0.0293687  0.00268147
          65     0.00844   0.0290468  0.00265948
          66     0.02752   0.0290236  0.00261928
          67      -0.012   0.0284113  0.00265079
          68      0.0244   0.0283524  0.00261246
          69     0.01868   0.0282122  0.00257836
          70     0.03912    0.028368  0.00254623
          71     0.01144   0.0281296   0.0025215
          72     0.03268   0.0281928  0.00248728
          73      0.0272   0.0281792  0.00245324
          74     0.01544    0.028007  0.00242612
          75     0.06652   0.0285205  0.00244751
          76      0.0376     0.02864  0.00241822
          77     0.04264   0.0288218  0.00239364
          78     0.00016   0.0284544  0.00239099
          79     0.06376   0.0289013  0.00240213
          80     0.04216    0.029067  0.00237782
          81     0.02712    0.029043  0.00234858
          82     0.00564   0.0287576  0.00233722
          83      0.0142   0.0285822  0.00231563
          84      0.0624   0.0289848   0.0023228
          85      0.0122   0.0287873  0.00230385
          86     0.02772   0.0287749  0.00227709
          87     0.00116   0.0284575  0.00227293
          88    -0.00732   0.0280509  0.00228318
          89      0.0582   0.0283897  0.00228251
          90     0.03784   0.0284947  0.00225957
          91     0.01764   0.0283754  0.00223788
          92     -0.0156   0.0278974  0.00226403
          93     0.02924   0.0279118  0.00223973
          94     0.01488   0.0277732  0.00222019
          95     0.06064   0.0281192  0.00222361
          96     0.02736   0.0281112  0.00220047
          97     0.02312   0.0280598  0.00217838
          98     0.03944   0.0281759  0.00215925
          99    -0.00628   0.0278279   0.0021653
         100     0.02456   0.0277952   0.0021439
         101      0.0166   0.0276844  0.00212553
         102     0.01772   0.0275867  0.00210694
         103     0.01668   0.0274808  0.00208914
         104     0.03516   0.0275546  0.00207036
         105     0.03368    0.027613  0.00205146
         106    -0.01064   0.0272521  0.00206361
         107     0.02372   0.0272191  0.00204458
         108    -0.00372   0.0269326  0.00204562
         109     0.02096   0.0268778  0.00202759
         110     0.00532   0.0266818  0.00201861
         111     0.01884   0.0266112  0.00200166
         112     0.04896   0.0268107  0.00199371
         113    -0.00448   0.0265338   0.0019952
         114     0.02324   0.0265049  0.00197791
         115     0.03248   0.0265569  0.00196139
         116      0.0258   0.0265503  0.00194449
         117     0.03856    0.026653  0.00193058
         118     0.02032   0.0265993  0.00191497
         119     0.02048   0.0265479  0.00189956
         120    -0.01584   0.0261947   0.0019163
         121      -8e-05   0.0259775  0.00191272
         122    -0.01212   0.0256652  0.00192237
         123      0.0076   0.0255184  0.00191234
         124      0.0516   0.0257287  0.00190845
         125     0.03192   0.0257782  0.00189382
         126     0.01808   0.0257171  0.00187978
         127     0.02756   0.0257317  0.00186503
         128     0.01652   0.0256597  0.00185185
         129     0.02428    0.025649  0.00183753
         130     0.03404   0.0257135  0.00182453
         131     0.02364   0.0256977  0.00181067
         132     0.01388   0.0256082  0.00179916
         133     0.04648   0.0257651  0.00179247
         134      0.0532   0.0259699  0.00179074
         135     0.02884   0.0259911   0.0017776
         136     0.04572   0.0261362  0.00177044
         137     0.02188   0.0261051  0.00175779
         138     0.01872   0.0260516  0.00174587
         139     0.03636   0.0261258  0.00173488
         140     0.02512   0.0261186  0.00172251
         141     0.01104   0.0260116  0.00171361
         142      0.0246   0.0260017  0.00170157
         143     0.03532   0.0260669  0.00169092
         144       0.081   0.0264483  0.00172167
         145     0.03876   0.0265332  0.00171189
         146     0.06792   0.0268167  0.00172347
         147     0.02676   0.0268163  0.00171175
         148     0.05832   0.0270292  0.00171337
         149     0.07248   0.0273342  0.00172881
         150     0.03168   0.0273632  0.00171752
         151     0.00668   0.0272262   0.0017116
         152     0.03208   0.0272582  0.00170064
         153      0.0214   0.0272199  0.00168996
         154     0.03352   0.0272608  0.00167948
         155      0.0558   0.0274449   0.0016787
         156     0.02844   0.0274513  0.00166796
         157     0.02768   0.0274527  0.00165733
         158     0.01324   0.0273628  0.00164928
         159     0.00704    0.027235  0.00164386
         160     0.00148    0.027074  0.00164144
         161      0.0126   0.0269841  0.00163371
         162     0.04688   0.0271069  0.00162823
         163     0.06316   0.0273281   0.0016332
         164     0.00324   0.0271812  0.00162983
         165     0.05416   0.0273447  0.00162813
         166     0.06688   0.0275829  0.00163565
         167     0.00672    0.027458  0.00163062
         168     0.02848    0.027464  0.00162093
         169     0.02356   0.0274409   0.0016115
         170     0.03048   0.0274588  0.00160212
         171     0.04384   0.0275546  0.00159561
         172     0.02268   0.0275263  0.00158659
