#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.940468    0.940468           0
           2    0.912268    0.926368  0.00997021
           3    0.922592    0.925109  0.00672578
           4    0.906488    0.920454  0.00645751
           5     0.87414    0.911191  0.00976357
           6     0.77078    0.887789   0.0228598
           7    0.775288    0.871718   0.0246034
           8    0.937424    0.879931   0.0228578
           9    0.776652    0.868456   0.0230191
          10    0.892504     0.87086   0.0208424
          11     0.95172    0.878211   0.0202024
          12    0.757012    0.868111   0.0208915
          13    0.813048    0.863876   0.0197092
          14    0.907852    0.867017     0.01855
          15    0.836284    0.864968   0.0174261
          16    0.956612    0.870696   0.0172527
          17    0.957884    0.875824    0.016983
          18    0.886912     0.87644   0.0160507
          19     0.92364    0.878925   0.0153969
          20    0.883064    0.879132   0.0146285
          21     0.91022    0.880612   0.0140066
          22    0.886224    0.880867   0.0133723
          23    0.925112    0.882791   0.0129285
          24    0.930972    0.884798   0.0125447
          25    0.902968    0.885525   0.0120639
          26     0.89958    0.886066    0.011612
          27    0.957808    0.888723    0.011482
          28    0.919156     0.88981   0.0111232
          29    0.794136    0.886511   0.0112182
          30      0.9511    0.888664    0.011049
          31    0.937436    0.890237    0.010804
          32    0.946576    0.891998   0.0106088
          33     0.93366     0.89326   0.0103622
          34    0.943884    0.894749   0.0101638
          35     0.78982    0.891751   0.0103061
          36    0.883792     0.89153   0.0100222
          37    0.947416     0.89304  0.00986449
          38    0.958232    0.894756  0.00975294
          39    0.881076    0.894405  0.00950917
          40    0.940772    0.895564  0.00934183
          41    0.939072    0.896625  0.00917405
          42    0.948264    0.897855  0.00903763
          43    0.972472     0.89959   0.0089925
          44    0.824388    0.897881  0.00894908
          45    0.906972    0.898083  0.00875249
          46    0.947824    0.899164  0.00862875
          47    0.963676    0.900537  0.00855364
          48    0.950624    0.901581  0.00843884
          49    0.841272     0.90035  0.00835589
          50    0.823788    0.898818   0.0083279
          51    0.718296    0.895279  0.00888506
          52    0.696484    0.891456  0.00950112
          53    0.912748    0.891858  0.00933034
          54     0.94878    0.892912  0.00921691
          55     0.92656    0.893523  0.00906961
          56    0.933752    0.894242  0.00893606
          57    0.903616    0.894406   0.0087808
          58    0.930572     0.89503  0.00865152
          59    0.901264    0.895136  0.00850553
          60    0.931332    0.895739  0.00838513
          61    0.850128    0.894991  0.00828094
          62    0.729908    0.892328  0.00856476
          63    0.865844    0.891908  0.00843912
          64    0.956252    0.892913  0.00836693
          65    0.940924    0.893652  0.00827075
          66      0.9603    0.894662  0.00820685
          67    0.824568    0.893616  0.00815076
          68      0.9122    0.893889  0.00803548
          69     0.97178    0.895018  0.00799792
          70    0.926728    0.895471  0.00789649
          71     0.92758    0.895923  0.00779821
          72    0.952156    0.896704  0.00772891
          73    0.965932    0.897652    0.007681
          74    0.913664    0.897869  0.00758024
          75    0.895568    0.897838  0.00747924
          76    0.901992    0.897893  0.00738103
          77    0.780848    0.896373  0.00744004
          78    0.910404    0.896553  0.00734683
          79    0.865768    0.896163  0.00726416
          80    0.880532    0.895968  0.00717599
          81    0.965464    0.896826   0.0071385
          82     0.94938    0.897466  0.00708016
          83    0.850032    0.896895  0.00701788
          84    0.907208    0.897018  0.00693541
          85    0.544836    0.892874  0.00799624
          86    0.944876    0.893479  0.00792609
          87    0.954856    0.894185  0.00786632
          88     0.87936    0.894016  0.00777874
          89    0.949164    0.894636  0.00771598
          90    0.904484    0.894745  0.00763102
          91     0.84612    0.894211  0.00756585
          92     0.84122    0.893635   0.0075055
          93    0.875972    0.893445   0.0074272
          94    0.800252    0.892453  0.00741406
          95    0.967968    0.893248  0.00737851
          96    0.944864    0.893786  0.00732121
          97      0.9569    0.894437  0.00727459
          98    0.939396    0.894895  0.00721481
          99    0.862912    0.894572  0.00714916
         100    0.809316     0.89372  0.00712833
