#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1 1.56288e+14 1.56288e+14           0
           2 1.56288e+14 1.56288e+14           0
           3 1.56288e+14 1.56288e+14           0
           4 1.56288e+14 1.56288e+14           0
           5 1.56288e+14 1.56288e+14           0
           6 1.56288e+14 1.56288e+14      856159
           7 1.56288e+14 1.56288e+14      792649
           8 1.56288e+14 1.56288e+14      741455
           9 1.56288e+14 1.56288e+14      699051
          10 1.56288e+14 1.56288e+14 1.14866e+06
          11 1.56288e+14 1.56288e+14  1.0952e+06
          12 1.56288e+14 1.56288e+14 1.04858e+06
          13 1.56288e+14 1.56288e+14 1.00744e+06
          14 1.56288e+14 1.56288e+14      970793
          15 1.56288e+14 1.56288e+14      937875
          16 1.56288e+14 1.56288e+14      908093
          17 1.56288e+14 1.56288e+14      880980
          18 1.56288e+14 1.56288e+14      494303
          19 1.56288e+14 1.56288e+14      481120
          20 1.56288e+14 1.56288e+14      468937
