#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.231092    0.231092           0
           2    0.230263    0.230678 0.000293128
           3    0.228246    0.229867 0.000690144
           4    0.226673    0.229069 0.000863842
           5     0.22935    0.229125 0.000692904
           6    0.232084    0.229618 0.000732214
           7    0.230172    0.229697 0.000631872
           8    0.230301    0.229773 0.000557379
           9    0.230707    0.229877 0.000505032
          10    0.231806    0.230069 0.000489992
          11    0.228361    0.229914 0.000469429
          12    0.230805    0.229988 0.000436139
          13     0.22895    0.229909 0.000409835
          14     0.22989    0.229907 0.000380563
          15    0.230795    0.229966 0.000359767
          16    0.229922    0.229964 0.000337292
          17    0.230631    0.230003 0.000319726
          18    0.230578    0.230035 0.000303559
          19    0.231649     0.23012 0.000299239
          20    0.227265    0.229977 0.000316506
          21    0.228447    0.229904 0.000309704
          22    0.229047    0.229865  0.00029807
          23    0.232986    0.230001  0.00031448
          24    0.231019    0.230043 0.000304223
          25    0.231674    0.230109 0.000298969
          26     0.23262    0.230205 0.000302668
          27    0.228863    0.230155 0.000295514
          28    0.228762    0.230106 0.000289121
          29     0.22885    0.230062 0.000282375
          30    0.229276    0.230036 0.000274177
          31    0.229983    0.230034 0.000265338
          32    0.232921    0.230125 0.000271945
          33    0.230389    0.230133 0.000263823
          34    0.228873    0.230096 0.000258651
          35    0.230698    0.230113 0.000251832
          36    0.229953    0.230108 0.000244876
          37    0.230301    0.230114 0.000238313
          38     0.23159    0.230152 0.000235189
          39    0.231011    0.230174 0.000230185
          40    0.227166    0.230099 0.000236401
          41    0.228774    0.230067 0.000232836
          42    0.231153    0.230093 0.000228723
          43    0.232909    0.230158 0.000232592
          44    0.225874    0.230061 0.000246846
          45    0.228784    0.230032 0.000242985
          46    0.230982    0.230053 0.000238578
          47    0.230319    0.230059 0.000233568
          48     0.22932    0.230043 0.000229208
          49    0.228947    0.230021  0.00022562
          50    0.231896    0.230059 0.000224204
          51    0.229578    0.230049 0.000220006
          52    0.231744    0.230082 0.000218177
          53    0.227689    0.230037 0.000218683
          54    0.229116     0.23002 0.000215297
          55    0.231206    0.230041 0.000212461
          56    0.229293    0.230028 0.000209087
          57    0.232603    0.230073 0.000210244
          58    0.229718    0.230067 0.000206708
          59    0.227611    0.230025 0.000207351
          60    0.230707    0.230037 0.000204206
          61    0.230496    0.230044 0.000200997
          62    0.232721    0.230087  0.00020234
          63    0.228895    0.230068 0.000200011
          64    0.230558    0.230076 0.000197032
          65     0.23254    0.230114 0.000197613
          66    0.229492    0.230104 0.000194843
          67    0.225443    0.230035 0.000203979
          68    0.232455     0.23007 0.000204061
          69    0.229976    0.230069 0.000201108
          70    0.229511    0.230061 0.000198393
          71    0.229644    0.230055 0.000195685
          72    0.231107     0.23007 0.000193512
          73     0.22747    0.230034  0.00019411
          74    0.230754    0.230044  0.00019173
          75    0.230324    0.230048  0.00018921
          76     0.23162    0.230068 0.000187848
          77    0.227759    0.230038 0.000187787
          78    0.232849    0.230074 0.000188804
          79    0.231778    0.230096 0.000187642
          80    0.229183    0.230085 0.000185644
          81    0.229389    0.230076  0.00018355
          82    0.230565    0.230082 0.000181409
          83    0.229923     0.23008 0.000179233
          84    0.229399    0.230072 0.000177283
          85    0.231943    0.230094 0.000176559
          86    0.228229    0.230072 0.000175833
          87    0.231411    0.230088 0.000174483
          88    0.227857    0.230062 0.000174333
          89      0.2325     0.23009 0.000174513
          90    0.229789    0.230086 0.000172606
          91    0.230824    0.230094 0.000170899
          92    0.228824    0.230081 0.000169598
          93    0.231187    0.230093 0.000168191
          94    0.232494    0.230118  0.00016833
          95    0.232992    0.230148 0.000169255
          96    0.229843    0.230145 0.000167522
          97    0.229333    0.230137 0.000166004
          98    0.229953    0.230135  0.00016432
          99    0.229826    0.230132  0.00016269
         100    0.230658    0.230137 0.000161149
