#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    -0.05775    -0.05775           0
           2  -0.0575428  -0.0576464 7.32526e-05
           3  -0.0570386  -0.0574438 0.000172467
           4  -0.0566455  -0.0572442 0.000215874
           5  -0.0573146  -0.0572583 0.000173157
           6  -0.0579978  -0.0573816  0.00018298
           7    -0.05752  -0.0574013 0.000157905
           8  -0.0575523  -0.0574202 0.000139289
           9  -0.0576538  -0.0574462 0.000126207
          10  -0.0579283  -0.0574944 0.000122449
          11  -0.0570673  -0.0574555  0.00011731
          12  -0.0576781  -0.0574741 0.000108991
          13  -0.0572147  -0.0574541 0.000102418
          14  -0.0574495  -0.0574538 9.51027e-05
          15  -0.0576757  -0.0574686 8.99058e-05
          16  -0.0574575  -0.0574679 8.42894e-05
          17  -0.0576346  -0.0574777 7.98996e-05
          18  -0.0576216  -0.0574857 7.58593e-05
          19  -0.0578892  -0.0575069 7.47799e-05
          20  -0.0567934  -0.0574713 7.90948e-05
          21   -0.057089  -0.0574531  7.7395e-05
          22  -0.0572387  -0.0574433 7.44876e-05
          23  -0.0582232  -0.0574772 7.85885e-05
          24  -0.0577316  -0.0574878 7.60254e-05
          25  -0.0578955  -0.0575041 7.47124e-05
          26  -0.0581316  -0.0575283 7.56368e-05
          27  -0.0571928  -0.0575158 7.38489e-05
          28  -0.0571675  -0.0575034 7.22514e-05
          29  -0.0571896  -0.0574926 7.05656e-05
          30  -0.0572961   -0.057486 6.85168e-05
          31  -0.0574728  -0.0574856 6.63079e-05
          32  -0.0582069  -0.0575081 6.79591e-05
          33  -0.0575743  -0.0575101 6.59293e-05
          34  -0.0571954  -0.0575009 6.46369e-05
          35  -0.0576513  -0.0575052 6.29329e-05
          36  -0.0574653  -0.0575041 6.11945e-05
          37  -0.0575523  -0.0575054 5.95545e-05
          38  -0.0578744  -0.0575151 5.87736e-05
          39  -0.0577295  -0.0575206 5.75232e-05
          40  -0.0567687  -0.0575018 5.90767e-05
          41  -0.0571705  -0.0574937 5.81858e-05
          42  -0.0577651  -0.0575002  5.7158e-05
          43  -0.0582039  -0.0575165 5.81247e-05
          44  -0.0564459  -0.0574922 6.16867e-05
          45  -0.0571732  -0.0574851 6.07219e-05
          46  -0.0577224  -0.0574903 5.96205e-05
          47  -0.0575567  -0.0574917 5.83688e-05
          48  -0.0573072  -0.0574878 5.72792e-05
          49  -0.0572139  -0.0574823 5.63825e-05
          50  -0.0579509  -0.0574916 5.60285e-05
          51  -0.0573715  -0.0574893 5.49795e-05
          52  -0.0579129  -0.0574974 5.45224e-05
          53  -0.0568994  -0.0574861 5.46489e-05
          54   -0.057256  -0.0574819 5.38028e-05
          55  -0.0577784  -0.0574873  5.3094e-05
          56  -0.0573003  -0.0574839 5.22508e-05
          57  -0.0581275  -0.0574952 5.25399e-05
          58  -0.0574066  -0.0574937 5.16562e-05
          59  -0.0568801  -0.0574833  5.1817e-05
          60  -0.0576536  -0.0574861  5.1031e-05
          61   -0.057601   -0.057488 5.02292e-05
          62   -0.058157  -0.0574988 5.05648e-05
          63  -0.0572009  -0.0574941 4.99827e-05
          64  -0.0576164   -0.057496 4.92383e-05
          65  -0.0581117  -0.0575055 4.93835e-05
          66    -0.05735  -0.0575031 4.86914e-05
          67  -0.0563382  -0.0574857 5.09743e-05
          68  -0.0580905  -0.0574946 5.09947e-05
          69  -0.0574709  -0.0574943 5.02568e-05
          70  -0.0573549  -0.0574923 4.95783e-05
          71  -0.0573881  -0.0574908 4.89017e-05
          72  -0.0577537  -0.0574945 4.83587e-05
          73  -0.0568449  -0.0574856  4.8508e-05
          74  -0.0576655   -0.057488 4.79134e-05
          75  -0.0575579  -0.0574889 4.72836e-05
          76  -0.0578818  -0.0574941 4.69433e-05
          77  -0.0569171  -0.0574866  4.6928e-05
          78  -0.0581889  -0.0574956 4.71821e-05
          79  -0.0579214   -0.057501 4.68918e-05
          80  -0.0572727  -0.0574981 4.63924e-05
          81  -0.0573243   -0.057496 4.58692e-05
          82  -0.0576182  -0.0574975  4.5334e-05
          83  -0.0574577   -0.057497 4.47904e-05
          84  -0.0573267   -0.057495  4.4303e-05
          85  -0.0579626  -0.0575005 4.41221e-05
          86  -0.0570344  -0.0574951 4.39406e-05
          87  -0.0578295  -0.0574989 4.36034e-05
          88  -0.0569414  -0.0574926 4.35657e-05
          89  -0.0581018  -0.0574994 4.36107e-05
          90  -0.0574243  -0.0574986 4.31342e-05
          91  -0.0576829  -0.0575006 4.27077e-05
          92  -0.0571832  -0.0574972 4.23826e-05
          93  -0.0577737  -0.0575001  4.2031e-05
          94  -0.0581001  -0.0575065 4.20658e-05
          95  -0.0582247  -0.0575141 4.22968e-05
          96  -0.0574378  -0.0575133 4.18637e-05
          97  -0.0573103  -0.0575112 4.14843e-05
          98  -0.0574652  -0.0575107 4.10637e-05
          99  -0.0574334  -0.0575099 4.06563e-05
         100  -0.0576415  -0.0575113  4.0271e-05
