#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1        1.26        1.26           0
           2     1.49712     1.37856   0.0838346
           3     1.47528      1.4108   0.0617787
           4     1.20336     1.35894   0.0645286
           5     1.57952     1.40306   0.0649761
           6     1.23452     1.37497   0.0599114
           7     1.43004     1.38283   0.0518667
           8     1.35372      1.3792   0.0455108
           9       1.282      1.3684   0.0417157
          10     1.27896     1.35945   0.0384909
          11     1.52892     1.37486   0.0379499
          12     1.49556     1.38492   0.0360958
          13     1.14616     1.36655   0.0377032
          14     1.29172     1.36121   0.0353869
          15     1.54244     1.37329   0.0350298
          16     1.26468      1.3665   0.0334916
          17     1.41124     1.36913   0.0316248
          18     1.35144     1.36815   0.0298831
          19     1.44468     1.37218   0.0285805
          20     1.37648     1.37239   0.0271523
          21     1.54632     1.38067   0.0270931
          22     1.20196     1.37255    0.027052
          23     1.24932     1.36719   0.0264011
          24     1.32624     1.36549   0.0253561
          25     1.29624     1.36272   0.0244927
          26     1.39868      1.3641   0.0235897
          27     1.17284     1.35702   0.0237558
          28     1.67548     1.36839    0.025485
          29     1.26916     1.36497   0.0248349
          30     1.47792     1.36873   0.0242908
          31     1.47916      1.3723    0.023767
          32     1.23424     1.36798   0.0234125
          33     1.49976     1.37197   0.0230411
          34       1.205     1.36706   0.0228808
          35     1.25868     1.36397   0.0224356
          36     1.43364      1.3659   0.0218958
          37     1.34076     1.36522   0.0213145
          38     1.22132     1.36144   0.0210873
          39       1.348     1.36109   0.0205494
          40     1.46076     1.36358   0.0201862
          41     1.49672     1.36683   0.0199533
          42     1.50184     1.37004   0.0197355
          43     1.44792     1.37186   0.0193594
          44     1.41812     1.37291    0.018948
          45     1.31512     1.37162   0.0185704
          46     1.25416     1.36907   0.0183414
          47       1.257     1.36669   0.0181055
          48     1.35312      1.3664   0.0177305
          49      1.4828     1.36878   0.0175271
          50     1.35868     1.36858   0.0171777
          51     1.55136     1.37216   0.0172107
          52       1.541     1.37541   0.0171833
          53     1.16052     1.37135   0.0173308
          54     1.45456     1.37289   0.0170782
          55     1.47356     1.37472   0.0168655
          56     1.40852     1.37533   0.0165751
          57     1.17332     1.37178   0.0166589
          58     1.32184     1.37092   0.0163939
