#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.35945     1.35945           0
           2     1.38533     1.37239  0.00914996
           3     1.36142     1.36873  0.00679217
           4     1.34813     1.36358  0.00677086
           5     1.38855     1.36858   0.0070203
           6      1.3627      1.3676  0.00591807
           7     1.37513     1.36867  0.00516949
           8     1.30504     1.36072  0.00870747
           9     1.31129     1.35523  0.00931219
          10     1.35246     1.35495  0.00838508
          11     1.34718     1.35424   0.0076525
          12     1.35715     1.35449  0.00701862
          13     1.38228     1.35662  0.00679647
          14     1.34441     1.35575  0.00636678
          15     1.39716     1.35851  0.00651348
          16     1.33165     1.35683  0.00631908
          17      1.4035     1.35958   0.0065165
          18     1.38422     1.36095  0.00629668
          19     1.36268     1.36104  0.00596593
          20     1.35243     1.36061  0.00568315
          21     1.33626     1.35945  0.00552953
          22     1.39242     1.36095  0.00547757
          23     1.40905     1.36304  0.00562449
          24     1.35556     1.36273  0.00539877
          25     1.33467      1.3616  0.00529821
          26     1.32304     1.36012  0.00529803
          27     1.39838     1.36154  0.00528786
          28     1.35049     1.36114  0.00511371
          29     1.35186     1.36082  0.00494738
          30     1.35951     1.36078  0.00478266
          31     1.34677     1.36033  0.00464968
          32     1.41513     1.36204  0.00480941
          33     1.38303     1.36268  0.00470555
          34     1.36692      1.3628  0.00456881
          35     1.47078     1.36589  0.00537992
          36     1.35518     1.36559  0.00523869
          37     1.28866     1.36351  0.00549422
          38     1.39493     1.36434  0.00541149
          39      1.3965     1.36516  0.00533522
          40     1.32969     1.36427  0.00527502
          41     1.35858     1.36414  0.00514818
          42     1.32198     1.36313  0.00512254
          43     1.31804     1.36208  0.00510963
          44     1.38008     1.36249  0.00500986
          45     1.45164     1.36447  0.00527573
          46     1.36863     1.36456  0.00516181
          47     1.29945     1.36318  0.00523461
          48     1.43274     1.36463  0.00532241
          49     1.42381     1.36584  0.00534906
          50     1.36769     1.36587  0.00524221
          51     1.35014     1.36556  0.00514849
          52     1.44135     1.36702   0.0052517
          53     1.45729     1.36872  0.00542175
          54     1.35962     1.36856  0.00532397
          55     1.41696     1.36944  0.00529939
          56     1.34934     1.36908   0.0052169
          57     1.39204     1.36948   0.0051409
          58     1.40077     1.37002  0.00508049
          59     1.37604     1.37012  0.00499541
          60     1.41315     1.37084  0.00496336
          61      1.3526     1.37054  0.00489099
          62       1.349     1.37019  0.00482443
          63      1.3851     1.37043  0.00475366
          64     1.39532     1.37082  0.00469526
          65     1.39315     1.37116  0.00463558
          66     1.36143     1.37101  0.00456769
          67     1.28056     1.36966  0.00469477
          68      1.4094     1.37025  0.00466195
          69     1.45928     1.37154  0.00476962
          70     1.39232     1.37184  0.00471071
          71     1.39835     1.37221  0.00465914
          72     1.47632     1.37365  0.00481357
          73     1.34956     1.37332  0.00475894
          74     1.41792     1.37393  0.00473264
          75     1.27118     1.37256  0.00486376
          76      1.3734     1.37257  0.00479978
          77      1.3718     1.37256  0.00473745
          78     1.41236     1.37307  0.00470412
          79     1.44706     1.37401   0.0047369
          80     1.46623     1.37516  0.00481593
          81     1.36897     1.37508  0.00475708
          82     1.42109     1.37564  0.00473204
          83      1.3309      1.3751  0.00470563
          84     1.35043     1.37481  0.00465877
          85     1.40795      1.3752  0.00462024
          86     1.30816     1.37442  0.00463182
          87     1.42951     1.37505  0.00462166
          88     1.35687     1.37485  0.00457376
          89     1.47384     1.37596  0.00465565
          90     1.40734     1.37631  0.00461696
          91     1.43411     1.37694  0.00460971
          92     1.43791     1.37761    0.004607
          93     1.40395     1.37789  0.00456616
          94     1.44568     1.37861  0.00457419
          95     1.37379     1.37856  0.00452632
          96     1.38371     1.37861  0.00447949
          97     1.35798      1.3784  0.00443836
          98     1.39287     1.37855  0.00439552
          99     1.39155     1.37868  0.00435308
         100     1.41123     1.37901   0.0043217
