#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.463307   -0.463307           0
           2   -0.462824   -0.463065 0.000171007
           3   -0.460509   -0.462213 0.000705064
           4   -0.458944   -0.461396  0.00088355
           5    -0.46169   -0.461455  0.00070879
           6   -0.465349   -0.462104 0.000836634
           7   -0.463405    -0.46229 0.000737476
           8   -0.463151   -0.462397 0.000653108
           9   -0.463926   -0.462567  0.00060223
          10    -0.46499    -0.46281 0.000588728
          11   -0.461151   -0.462659 0.000554178
          12   -0.463249   -0.462708 0.000510173
          13   -0.461535   -0.462618 0.000478843
          14    -0.46322   -0.462661 0.000446567
          15   -0.463584   -0.462722 0.000421014
          16   -0.462319   -0.462697 0.000395456
          17   -0.463208   -0.462727 0.000373336
          18   -0.463346   -0.462761 0.000354173
          19    -0.46443   -0.462849 0.000346244
          20     -0.4597   -0.462692 0.000362969
          21   -0.461142   -0.462618 0.000353109
          22   -0.462347   -0.462606 0.000337273
          23   -0.465893   -0.462749   0.0003516
          24   -0.464053   -0.462803 0.000341123
          25   -0.464947   -0.462889 0.000338091
          26   -0.465585   -0.462992 0.000340616
          27    -0.46188   -0.462951 0.000330484
          28   -0.461662   -0.462905 0.000321871
          29   -0.461859   -0.462869 0.000312788
          30   -0.461601   -0.462827 0.000305204
          31   -0.462904   -0.462829 0.000295368
          32   -0.465517   -0.462913 0.000297844
          33   -0.463049   -0.462917 0.000288847
          34   -0.461346   -0.462871 0.000284023
          35   -0.463119   -0.462878 0.000275997
          36   -0.462347   -0.462864 0.000268724
          37   -0.462838   -0.462863 0.000261462
          38   -0.464568   -0.462908 0.000258403
          39   -0.463924   -0.462934 0.000253086
          40   -0.460388    -0.46287 0.000254636
          41   -0.461627    -0.46284 0.000250224
          42   -0.463822   -0.462863 0.000245357
          43   -0.465996   -0.462936 0.000250235
          44   -0.457911   -0.462822  0.00026935
          45   -0.461587   -0.462794 0.000264758
          46   -0.463804   -0.462816  0.00025991
          47   -0.463524   -0.462831 0.000254815
          48   -0.462272    -0.46282 0.000249773
          49   -0.461931   -0.462802 0.000245334
          50   -0.464858   -0.462843  0.00024385
          51   -0.462751   -0.462841 0.000239076
          52   -0.464813   -0.462879 0.000237468
          53   -0.460141   -0.462827 0.000238541
          54   -0.461749   -0.462807 0.000234959
          55   -0.464232   -0.462833  0.00023211
          56   -0.462035   -0.462819 0.000228402
          57   -0.466101   -0.462876 0.000231538
          58   -0.462647   -0.462873  0.00022758
          59   -0.460514   -0.462833 0.000227206
          60   -0.463372   -0.462842 0.000223597
          61   -0.463306   -0.462849 0.000220061
          62   -0.465887   -0.462898   0.0002219
          63   -0.461522   -0.462876 0.000219451
          64   -0.463516   -0.462886 0.000216249
          65   -0.465878   -0.462932 0.000217764
          66   -0.462403   -0.462924 0.000214613
          67   -0.457722   -0.462847 0.000225019
          68    -0.46546   -0.462885 0.000224968
          69     -0.4631   -0.462888 0.000221729
          70   -0.462422   -0.462882 0.000218661
          71   -0.462987   -0.462883 0.000215587
          72   -0.463706   -0.462894 0.000212895
          73   -0.460711   -0.462865 0.000212069
          74   -0.463618   -0.462875 0.000209447
          75    -0.46334   -0.462881 0.000206747
          76   -0.464754   -0.462906  0.00020549
          77   -0.460094   -0.462869 0.000206039
          78   -0.465621   -0.462904 0.000206395
          79   -0.464747   -0.462928 0.000205096
          80   -0.461586   -0.462911 0.000203216
          81   -0.462183   -0.462902 0.000200906
          82   -0.462854   -0.462901 0.000198457
          83   -0.462475   -0.462896 0.000196132
          84   -0.461935   -0.462885 0.000194131
          85    -0.46486   -0.462908 0.000193232
          86     -0.4607   -0.462882 0.000192683
          87    -0.46443     -0.4629 0.000191288
          88   -0.461039   -0.462879 0.000190279
          89   -0.465224   -0.462905 0.000189957
          90   -0.463156   -0.462908 0.000187867
          91   -0.463938   -0.462919 0.000186143
          92   -0.461433   -0.462903 0.000184819
          93   -0.464868   -0.462924 0.000184035
          94   -0.465336    -0.46295 0.000183858
          95   -0.466172   -0.462984 0.000185025
          96   -0.462595    -0.46298 0.000183142
          97    -0.46189   -0.462969 0.000181597
          98   -0.462389   -0.462963 0.000179841
          99   -0.462361   -0.462957 0.000178127
         100   -0.463483   -0.462962 0.000176423
