#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -1.00539    -1.00539           0
           2     -1.0028    -1.00409 0.000914996
           3    -1.00332    -1.00384 0.000644774
           4    -1.00348    -1.00375 0.000489608
           5   -0.997403    -1.00248  0.00120059
           6   -0.998696    -1.00185  0.00115421
           7   -0.999906    -1.00157  0.00102212
           8    -1.00667    -1.00221  0.00107481
           9   -0.998773    -1.00183  0.00102089
          10   -0.999314    -1.00157   0.0009492
          11     -1.0093    -1.00228  0.00109215
          12   -0.997652    -1.00189  0.00106697
          13    -1.00024    -1.00176 0.000992461
          14   -0.999853    -1.00163 0.000930913
          15   -0.991462    -1.00095  0.00108794
          16    -1.00808     -1.0014  0.00110736
          17    -1.00836     -1.0018  0.00111539
          18    -1.00436    -1.00195  0.00106243
          19    -1.00441    -1.00208  0.00101439
          20     -1.0007    -1.00201 0.000965995
          21    -1.00264    -1.00204 0.000920458
          22    -1.00414    -1.00213 0.000883568
          23    -1.00432    -1.00223 0.000850243
          24    -1.00433    -1.00232  0.00081932
          25     -1.0024    -1.00232 0.000786554
          26    -1.00086    -1.00226 0.000758315
          27    -1.00943    -1.00253 0.000775272
          28    -1.00353    -1.00256 0.000748404
          29   -0.997379    -1.00239 0.000743651
          30    -1.00783    -1.00257 0.000740677
          31    -1.00832    -1.00275 0.000739644
          32    -1.00753     -1.0029 0.000731453
          33    -1.00579    -1.00299 0.000714516
          34    -1.00725    -1.00311 0.000704383
          35     -1.0014    -1.00307  0.00068595
          36    -1.00213    -1.00304 0.000667386
          37    -1.00767    -1.00316 0.000660969
          38    -1.01075    -1.00336 0.000673031
          39    -1.00061    -1.00329 0.000659481
          40    -1.00566    -1.00335  0.00064565
          41    -1.00645    -1.00343 0.000634315
          42    -1.00729    -1.00352 0.000625851
          43    -1.01062    -1.00369 0.000632685
          44    -1.00138    -1.00363 0.000620479
          45    -1.00365    -1.00363 0.000606691
          46    -1.00668     -1.0037 0.000597117
          47    -1.00955    -1.00382 0.000597225
          48    -1.00703    -1.00389 0.000588502
          49   -0.995193    -1.00371 0.000602666
          50    -0.99862    -1.00361 0.000599161
          51   -0.995102    -1.00344 0.000610204
          52   -0.994986    -1.00328 0.000619773
          53    -1.00335    -1.00328 0.000608081
          54    -1.00874    -1.00338 0.000605169
          55    -1.00638    -1.00344  0.00059661
          56    -1.00557    -1.00348  0.00058717
          57    -1.00007    -1.00342 0.000579899
          58    -1.00364    -1.00342 0.000569914
          59    -1.00286    -1.00341 0.000560335
          60    -1.00467    -1.00343 0.000551386
          61   -0.998867    -1.00336 0.000547404
          62    -0.99911    -1.00329 0.000542845
          63   -0.999845    -1.00323 0.000536974
          64    -1.00857    -1.00332 0.000535024
          65    -1.00758    -1.00338 0.000530793
          66    -1.00984    -1.00348 0.000531683
          67    -1.00057    -1.00344 0.000525519
          68    -1.00241    -1.00342 0.000518007
          69    -1.01088    -1.00353 0.000521639
          70    -1.00259    -1.00352  0.00051436
          71    -1.00758    -1.00357 0.000510294
          72    -1.00741    -1.00363 0.000505981
          73    -1.00989    -1.00371  0.00050628
          74    -1.00068    -1.00367 0.000501094
          75    -1.00954    -1.00375 0.000500489
          76    -1.00131    -1.00372 0.000494932
          77   -0.993817    -1.00359 0.000504934
          78    -1.00148    -1.00356 0.000499185
          79   -0.999795    -1.00352 0.000495139
          80    -1.00272    -1.00351 0.000489049
          81    -1.01088     -1.0036 0.000491406
          82    -1.00696    -1.00364 0.000487118
          83   -0.998713    -1.00358  0.00048485
          84    -1.00314    -1.00357 0.000479105
          85   -0.994073    -1.00346 0.000486331
          86    -1.00944    -1.00353 0.000485622
          87    -1.00912     -1.0036 0.000484272
          88    -1.00358    -1.00359 0.000478769
          89    -1.00655    -1.00363 0.000474541
          90    -1.00172    -1.00361 0.000469741
          91    -1.00201    -1.00359 0.000464906
          92    -1.00424     -1.0036 0.000459907
          93   -0.999247    -1.00355 0.000457333
          94   -0.997413    -1.00348 0.000457104
          95    -1.01066    -1.00356 0.000458496
          96    -1.00679    -1.00359 0.000454955
          97    -1.00789    -1.00364 0.000452416
          98    -1.00732    -1.00368 0.000449353
          99   -0.998226    -1.00362 0.000448173
         100   -0.997074    -1.00356 0.000448446
