# Blocco	Energia Media	Errore Energia	Pressione Media	Errore Pressione
1	-0.249296	0.0	0.0473974	0.0
2	-0.274853	0.0180718	0.0489039	0.00106525
3	-0.304085	0.0267357	0.0511346	0.00195486
4	-0.332413	0.0316852	0.0539782	0.00286608
5	-0.336787	0.0256483	0.0523569	0.00271295
6	-0.341935	0.0218842	0.050072	0.00307605
7	-0.337806	0.0191435	0.0517983	0.00308323
8	-0.346298	0.0185386	0.0506473	0.00290475
9	-0.349359	0.0167295	0.0512532	0.00264445
10	-0.35076	0.0151151	0.0511703	0.0023813
11	-0.3509	0.0137417	0.0511152	0.00216546
12	-0.357283	0.0140007	0.0501582	0.00218624
13	-0.360403	0.013267	0.0499197	0.00203104
14	-0.364788	0.0130239	0.0492443	0.0019951
15	-0.371206	0.0136456	0.0488128	0.00190819
16	-0.371245	0.0127928	0.0484116	0.00183063
17	-0.373335	0.0122097	0.0482596	0.00172924
18	-0.373958	0.0115473	0.0482797	0.00163329
19	-0.374645	0.0109599	0.048462	0.00155747
20	-0.377874	0.0108774	0.0485832	0.0014843
21	-0.382091	0.0111469	0.0486058	0.00141379
22	-0.384351	0.0108668	0.0484796	0.00135515
23	-0.385659	0.0104727	0.0487652	0.00132599
24	-0.390207	0.01098	0.0491037	0.00131325
25	-0.394568	0.0113738	0.0490551	0.00126162
26	-0.395316	0.0109609	0.0488786	0.00122537
27	-0.394993	0.0105597	0.0489472	0.00118191
28	-0.392283	0.0105246	0.0492736	0.00118391
29	-0.392581	0.0101659	0.0490335	0.00116718
30	-0.39181	0.00985617	0.0491643	0.00113558
31	-0.391922	0.00953887	0.0490303	0.00110683
32	-0.392019	0.00924127	0.0490622	0.0010727
33	-0.391686	0.00896722	0.0492032	0.00104942
34	-0.392968	0.00879462	0.0490557	0.00102886
35	-0.394432	0.00866434	0.0490357	0.000999661
36	-0.393218	0.00850822	0.049367	0.00102532
37	-0.393741	0.00829432	0.0493238	0.000998518
38	-0.394987	0.00816907	0.0493385	0.00097235
39	-0.394588	0.00796936	0.0495042	0.000961432
40	-0.39589	0.00787586	0.0493227	0.000954373
41	-0.397519	0.00785036	0.0491302	0.000950319
42	-0.398502	0.00772479	0.0490634	0.000930041
43	-0.399503	0.00760968	0.0490548	0.000908451
44	-0.400524	0.00750493	0.0490542	0.000887805
45	-0.401665	0.00742439	0.0493377	0.000912233
46	-0.401795	0.00726413	0.0492422	0.000897386
47	-0.402677	0.00716291	0.0492713	0.000878765
48	-0.403977	0.0071306	0.0492258	0.000861635
49	-0.405256	0.00709891	0.0491827	0.000845129
50	-0.406115	0.00700871	0.0490685	0.000835912
51	-0.406746	0.0068996	0.0489924	0.000822979
52	-0.406308	0.00678079	0.0492053	0.000834251
53	-0.407251	0.00671819	0.0491503	0.000820321
54	-0.40773	0.00661083	0.0489922	0.000820234
55	-0.406977	0.00653347	0.048972	0.000805568
56	-0.405639	0.00655236	0.0489699	0.000791186
57	-0.404856	0.00648396	0.0491649	0.000800967
58	-0.405104	0.00637692	0.049125	0.00078815
59	-0.40387	0.00638718	0.0492831	0.000790495
60	-0.403661	0.00628414	0.0492839	0.00077732
61	-0.403751	0.00618177	0.0492223	0.000767012
62	-0.403062	0.0061204	0.0492272	0.000754657
63	-0.401854	0.00614119	0.0493408	0.000751182
64	-0.401852	0.00604524	0.0494773	0.000751742
65	-0.402627	0.00600171	0.049572	0.000746127
66	-0.403415	0.00596225	0.0496562	0.000739555
67	-0.403693	0.00587974	0.0495553	0.000735377
68	-0.403563	0.0057947	0.0497123	0.000741146
69	-0.403062	0.00573234	0.0500012	0.000784686
70	-0.403406	0.00566076	0.0500415	0.00077451
71	-0.403703	0.00558881	0.0500746	0.000764307
72	-0.403852	0.00551318	0.0500843	0.000753754
73	-0.40246	0.00561077	0.0500803	0.00074344
74	-0.40157	0.00560503	0.0499679	0.000741848
75	-0.401337	0.00553512	0.0498701	0.000738374
76	-0.399999	0.00562187	0.049857	0.000728774
77	-0.400107	0.0055499	0.0498271	0.000719924
78	-0.399913	0.00548216	0.0496899	0.000723648
79	-0.400275	0.00542476	0.0496091	0.000718983
80	-0.400242	0.00535705	0.0494998	0.000718256
81	-0.400486	0.00529643	0.0494674	0.00071012
82	-0.400674	0.00523521	0.0494193	0.000703088
