# Blocco	Energia Media	Errore Energia	Pressione Media	Errore Pressione
1	-6.61507	0.0	-4.19645	0.0
2	-6.55829	0.040152	-3.85995	0.237939
3	-6.50933	0.048106	-3.58642	0.273934
4	-6.46618	0.0519424	-3.33128	0.301714
5	-6.42053	0.0582613	-3.06984	0.336068
6	-6.38058	0.0607194	-2.84788	0.345669
7	-6.35141	0.0586338	-2.68859	0.330962
8	-6.33208	0.054398	-2.5819	0.306306
9	-6.31444	0.0511354	-2.48271	0.287885
10	-6.29926	0.0482235	-2.40465	0.26947
11	-6.28841	0.0450421	-2.34675	0.251117
12	-6.27032	0.0447765	-2.24665	0.249344
13	-6.2483	0.0464304	-2.1304	0.255831
14	-6.22659	0.0479224	-2.01649	0.261694
15	-6.20404	0.0497498	-1.89902	0.269325
16	-6.18704	0.0494581	-1.80314	0.269017
17	-6.16912	0.0496903	-1.70523	0.270423
18	-6.15276	0.0495512	-1.61153	0.271146
19	-6.13672	0.0494695	-1.5185	0.27237
20	-6.12238	0.0490322	-1.43486	0.271289
21	-6.10961	0.04833	-1.36022	0.268442
22	-6.09982	0.0471157	-1.29851	0.263238
23	-6.09047	0.0459844	-1.24188	0.257812
24	-6.08059	0.0451177	-1.18577	0.253103
25	-6.07191	0.0441393	-1.13901	0.24726
26	-6.06536	0.0429256	-1.10185	0.240526
27	-6.05499	0.0425687	-1.04989	0.237164
28	-6.04302	0.0426998	-0.989275	0.236312
29	-6.03563	0.0418617	-0.950896	0.231259
30	-6.03216	0.0406095	-0.932087	0.224314
31	-6.02528	0.0398783	-0.898972	0.219509
32	-6.01718	0.0394467	-0.861392	0.215842
33	-6.00979	0.0389382	-0.825598	0.212249
34	-6.00257	0.0384566	-0.789214	0.209101
35	-5.99905	0.0375186	-0.768996	0.204102
36	-5.99264	0.0370188	-0.736877	0.200944
37	-5.99128	0.0360435	-0.727446	0.195734
38	-5.98833	0.035215	-0.710772	0.191292
39	-5.98566	0.0344136	-0.691963	0.18731
40	-5.98161	0.0337907	-0.670723	0.183827
41	-5.97733	0.0332357	-0.647673	0.180783
42	-5.97444	0.0325705	-0.617464	0.173632
43	-5.97162	0.0319346	-0.602402	0.170338
44	-5.9689	0.0313244	-0.580495	0.167955
45	-5.96449	0.0309377	-0.555125	0.166209
46	-5.9595	0.030664	-0.527072	0.165023
47	-5.95425	0.0304586	-0.498441	0.16405
48	-5.94839	0.030381	-0.470657	0.163038
49	-5.9429	0.0302537	-0.447891	0.161359
50	-5.93896	0.0299044	-0.429301	0.159262
51	-5.93573	0.0294913	-0.411219	0.157223
52	-5.93236	0.0291166	-0.39218	0.155405
53	-5.92859	0.0288095	-0.368874	0.154265
54	-5.92394	0.0286488	-0.342195	0.153749
55	-5.91885	0.0285771	-0.310893	0.154157
56	-5.91275	0.0287113	-0.286713	0.153337
57	-5.90794	0.0286075	-0.262309	0.152623
58	-5.90288	0.0285586	-0.238702	0.151851
59	-5.89803	0.0284835	-0.21398	0.151319
60	-5.89305	0.0284409	-0.186034	0.151397
61	-5.88721	0.0285667	-0.15148	0.152848
62	-5.87997	0.0290105	-0.121521	0.15333
63	-5.87377	0.0292032	-0.0950649	0.153199
64	-5.86796	0.0293192	-0.0676828	0.15327
65	-5.86193	0.0294814	-0.0406335	0.153316
66	-5.8558	0.0296662	-0.0126281	0.153564
67	-5.84966	0.0298524	0.0157034	0.153897
68	-5.84349	0.0300447	0.037146	0.153153
69	-5.83906	0.0299338	0.0557807	0.152095
70	-5.83489	0.0297944	0.070746	0.150687
71	-5.83152	0.0295646	0.0865681	0.149422
72	-5.82818	0.0293429	0.102441	0.148216
73	-5.82475	0.0291402	0.120444	0.147303
74	-5.82099	0.0289883	0.135981	0.146156
75	-5.81799	0.0287561	0.152506	0.145164
76	-5.81492	0.0285415	0.170454	0.144384
77	-5.81124	0.028407	0.186739	0.143448
78	-5.80785	0.028244	0.201747	0.142415
79	-5.80486	0.0280451	0.215775	0.141324
80	-5.80216	0.0278241	0.22968	0.140262
81	-5.79979	0.0275813	0.245415	0.139431
82	-5.79679	0.0274075	0.264441	0.139043
83	-5.79298	0.0273408	0.283925	0.138747
84	-5.78908	0.0272919	0.300573	0.138109
85	-5.78577	0.0271706	0.320196	0.13789
86	-5.78212	0.0270986	0.337112	0.137339
87	-5.77921	0.0269433	0.351093	0.136488
88	-5.77701	0.0267271	0.366983	0.135877
89	-5.77414	0.0265804	0.383734	0.135395
90	-5.77094	0.0264765	0.393407	0.134253
91	-5.76941	0.0262295	0.40132	0.133026
92	-5.76811	0.0259768	0.417716	0.132603
93	-5.7648	0.0259074	0.435489	0.132378
94	-5.76145	0.0258481	0.452074	0.132019
95	-5.75821	0.0257782	0.464463	0.131224
96	-5.75608	0.025597	0.480074	0.130796
97	-5.75324	0.0254907	0.494737	0.130281
98	-5.75046	0.0253819	0.507958	0.129634
99	-5.74802	0.025242	0.519715	0.12887
100	-5.74585	0.0250832	0.527957	0.127857
101	-5.74452	0.0248697	0.538706	0.127055
102	-5.74261	0.0246995	0.54713	0.1261
103	-5.7412	0.0244997	0.556366	0.125225
104	-5.73954	0.0243201	0.564639	0.124306
105	-5.73824	0.0241236	0.572061	0.123354
106	-5.737	0.023928	0.579902	0.122451
107	-5.73578	0.023735	0.590716	0.121793
108	-5.73402	0.0235806	0.599745	0.12101
109	-5.73271	0.0234007	0.608426	0.120221
110	-5.73129	0.0232311	0.617719	0.119497
111	-5.72984	0.0230672	0.629566	0.119015
112	-5.72762	0.0229677	0.643443	0.118768
113	-5.72501	0.022912	0.657283	0.11853
114	-5.72237	0.0228629	0.671941	0.118402
115	-5.71942	0.0228536	0.685749	0.118184
116	-5.71657	0.0228337	0.705662	0.11884
117	-5.7123	0.0230341	0.71804	0.118476
118	-5.70971	0.022984	0.724624	0.117663
119	-5.7085	0.0228224	0.730907	0.11685
120	-5.70746	0.0226559	0.739406	0.116193
121	-5.70584	0.0225265	0.746167	0.115437
122	-5.70475	0.0223684	0.754709	0.114814
123	-5.70312	0.0222455	0.763084	0.114193
124	-5.70157	0.0221201	0.77519	0.11392
125	-5.69929	0.022061	0.790076	0.113984
126	-5.69674	0.0220324	0.80483	0.114037
127	-5.69426	0.021998	0.820878	0.11427
128	-5.69135	0.0220181	0.837057	0.114524
129	-5.68827	0.0220616	0.851652	0.114569
130	-5.6855	0.0220655	0.86605	0.114596
131	-5.68296	0.0220425	0.880894	0.114685
132	-5.68016	0.0220524	0.897206	0.114977
133	-5.67702	0.0221091	0.912974	0.115195
134	-5.67393	0.0221586	0.926994	0.115192
135	-5.67124	0.022158	0.941784	0.11529
136	-5.66854	0.0221588	0.955972	0.115318
137	-5.6661	0.022131	0.967012	0.11501
138	-5.66447	0.0220307	0.975554	0.114499
139	-5.66316	0.0219106	0.985371	0.114101
140	-5.66152	0.0218156	0.992225	0.113498
141	-5.66058	0.0216811	0.998857	0.112892
142	-5.65973	0.021545	1.00569	0.112309
143	-5.65878	0.0214156	1.01333	0.111789
144	-5.65762	0.0212979	1.02038	0.11124
145	-5.65659	0.0211761	1.02814	0.110749
146	-5.65534	0.0210679	1.03323	0.110112
147	-5.65475	0.020933	1.0378	0.109463
148	-5.65417	0.0207995	1.04273	0.108839
149	-5.65337	0.0206753	1.0495	0.108324
150	-5.65219	0.0205711	1.05329	0.107673
