# Blocco	Energia Media	Errore Energia	Pressione Media	Errore Pressione
1	-8.49169	0.0	4.31594	0.0
2	-8.4314	0.0426269	4.64217	0.230677
3	-8.35955	0.065186	5.03103	0.35279
4	-8.30371	0.0687652	5.33719	0.374579
5	-8.24565	0.0756511	5.65594	0.413615
6	-8.19373	0.0788737	5.94394	0.433502
7	-8.15395	0.0769868	6.16283	0.423243
8	-8.12339	0.0731789	6.3288	0.401564
9	-8.10067	0.0684829	6.45121	0.375139
10	-8.07863	0.0650847	6.57068	0.356139
11	-8.06119	0.0614615	6.66505	0.336035
12	-8.04274	0.0590435	6.76623	0.322906
13	-8.02319	0.057646	6.87207	0.314934
14	-8.00148	0.057473	6.99124	0.314179
15	-7.98825	0.0551436	7.06397	0.301535
16	-7.97858	0.0525383	7.11774	0.287442
17	-7.967	0.0507075	7.18149	0.277514
18	-7.95549	0.0491799	7.24589	0.269464
19	-7.9409	0.0487066	7.32753	0.267364
20	-7.92979	0.0475205	7.39009	0.261213
21	-7.92065	0.0461285	7.44184	0.253849
22	-7.91311	0.0446434	7.4846	0.245884
23	-7.90767	0.0430329	7.51595	0.237185
24	-7.90316	0.0414755	7.54147	0.22867
25	-7.89736	0.0402195	7.57405	0.221832
26	-7.89256	0.0389586	7.60111	0.214944
27	-7.88563	0.0381274	7.63925	0.210341
28	-7.87894	0.037348	7.67698	0.206184
29	-7.87261	0.036592	7.71216	0.202053
30	-7.86608	0.0359502	7.74815	0.198498
31	-7.85695	0.0359305	7.79903	0.198509
32	-7.84831	0.0358314	7.84638	0.197871
33	-7.84052	0.0355837	7.88975	0.19657
34	-7.83398	0.0351323	7.92601	0.194105
35	-7.82948	0.034415	7.95058	0.190108
36	-7.82524	0.0337202	7.97321	0.18617
37	-7.82365	0.0328461	7.98147	0.181321
38	-7.82063	0.03212	7.9978	0.177283
39	-7.81871	0.0313538	8.00823	0.173044
40	-7.81626	0.0306661	8.0212	0.169204
41	-7.8126	0.0301352	8.04119	0.166253
42	-7.81032	0.0295037	8.05382	0.162774
43	-7.8078	0.028925	8.06752	0.159564
44	-7.80386	0.0285346	8.08913	0.157394
45	-7.79949	0.0282335	8.11255	0.155629
46	-7.79385	0.028178	8.14337	0.155267
47	-7.78887	0.0280153	8.17122	0.154442
48	-7.78277	0.0280878	8.20499	0.154872
49	-7.77804	0.0279095	8.23119	0.153911
50	-7.77379	0.0276736	8.2548	0.152634
51	-7.77041	0.0273355	8.27345	0.150776
52	-7.76655	0.0270823	8.29428	0.149308
53	-7.76208	0.0269367	8.31781	0.148333
54	-7.75715	0.026885	8.3446	0.147986
55	-7.75214	0.0268601	8.37173	0.147761
56	-7.7473	0.0268124	8.39809	0.147455
57	-7.74346	0.0266153	8.41914	0.146363
58	-7.73941	0.0264627	8.44077	0.145429
59	-7.73692	0.0261313	8.45371	0.143539
60	-7.73373	0.0258894	8.4714	0.142232
61	-7.73014	0.025713	8.49143	0.141304
62	-7.72529	0.0257513	8.51792	0.141485
63	-7.72144	0.0256288	8.5388	0.140772
64	-7.71717	0.025582	8.5621	0.140488
65	-7.71324	0.0254875	8.5833	0.139916
66	-7.70947	0.0253788	8.60348	0.139244
67	-7.70656	0.0251662	8.61922	0.138053
68	-7.7035	0.0249825	8.63563	0.136994
69	-7.70086	0.0247595	8.65025	0.135787
70	-7.69777	0.0245976	8.66701	0.134878
71	-7.69512	0.0243934	8.68122	0.133724
72	-7.69256	0.0241888	8.6951	0.132586
73	-7.689	0.024117	8.71447	0.132176
74	-7.6845	0.0242072	8.73869	0.132591
75	-7.68116	0.0241139	8.75728	0.13212
76	-7.67843	0.0239508	8.77244	0.131248
77	-7.67547	0.0238222	8.78848	0.13052
78	-7.67337	0.0236092	8.79959	0.129319
79	-7.67147	0.0233862	8.81018	0.128115
80	-7.66915	0.0232087	8.82263	0.127117
81	-7.66709	0.0230143	8.8337	0.126028
82	-7.66446	0.0228828	8.84792	0.125292
83	-7.66229	0.0227094	8.85938	0.124305
84	-7.66003	0.0225518	8.87185	0.123449
85	-7.65825	0.0223569	8.88191	0.122406
86	-7.65628	0.0221832	8.89291	0.121476
87	-7.65436	0.0220115	8.90357	0.120546
88	-7.65194	0.0218939	8.91675	0.119895
89	-7.65002	0.0217317	8.92695	0.118981
